Title,Price,Description,Url,Image
rag & bone,$190,Khaki Wingman Belt,https://www.ssense.com/en-ch/women/product/rag-and-bone/khaki-wingman-belt/3908981,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
rag & bone,$165,Blue Patent Jet Belt,https://www.ssense.com/en-ch/women/product/rag-and-bone/blue-patent-jet-belt/3908971,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
rag & bone,$165,White Patent Jet Belt,https://www.ssense.com/en-ch/women/product/rag-and-bone/white-patent-jet-belt/3908951,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
rag & bone,$145,Black Jet Belt,https://www.ssense.com/en-ch/women/product/rag-and-bone/black-jet-belt/3908921,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
rag & bone,$150,Tan Boyfriend Belt,https://www.ssense.com/en-ch/women/product/rag-and-bone/tan-boyfriend-belt/3908911,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Givenchy,$490,Pink Diamond Medium Quilted Pouch,https://www.ssense.com/en-ch/women/product/givenchy/pink-diamond-medium-quilted-pouch/3751419,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Givenchy,$920,Pink Emblem 4G Chain Wallet Bag,https://www.ssense.com/en-ch/women/product/givenchy/pink-emblem-4g-chain-wallet-bag/3751739,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Givenchy,$875,Beige Diamond Mini Pocket Bag,https://www.ssense.com/en-ch/women/product/givenchy/beige-diamond-mini-pocket-bag/3751309,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Givenchy,$2490,Navy Lizard Small Whip Bag,https://www.ssense.com/en-ch/women/product/givenchy/navy-lizard-small-whip-bag/3751229,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Chloé,$690,Green Faye Bracelet Bag,https://www.ssense.com/en-ch/women/product/chloe/green-faye-bracelet-bag/3750059,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Chloé,$1590,Brown Croc Small Tess Bag,https://www.ssense.com/en-ch/women/product/chloe/brown-croc-small-tess-bag/3741269,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Chloé,$1350,Pink Croc Mini Faye Day Bag,https://www.ssense.com/en-ch/women/product/chloe/pink-croc-mini-faye-day-bag/3750159,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
