ArticleNumber,AvailableQty,expectedDeliveryDateFormatted,inventoryCount,inventoryCountFormatted,quantityFormatted
82042187,0.00,,36,36,1
82042387,0.00,,101,101,1
82042390,0.00,,101,101,1
82042406,0.00,,20,20,1
82042411,0.00,,64,64,1
82042478,78.00,22-07-2019,145,145,1
82042479,77.00,22-07-2019,130,130,1
82042810,0.00,,202,202,1
82042842,200.00,01-12-2019,37,37,1
82043327,0.00,,45,45,1
82043370,0.00,,36,36,1
82043409,0.00,,23,23,1
82043504,0.00,,67,67,1
82043520,0.00,,116,116,1
82043521,0.00,,143,143,1
82044501,98.00,22-07-2019,17,17,1
82044502,209.00,22-07-2019,0,0,1
21253144,0.00,,350,350,1
32120410,0.00,,346,346,1
32128988,2.00,13-03-2020,237,237,1
32703178,0.00,,364,364,1
32703185,0.00,,366,366,1
32703186,0.00,,211,211,1
40113063,0.00,,219,219,1
40113071,0.00,,232,232,1
40113110,0.00,,227,227,1
40113111,0.00,,213,213,1
40113112,0.00,,235,235,1
40114820,12.00,13-03-2020,229,229,1
40114921,0.00,,170,170,1
40114945,0.00,,137,137,1
40604815,6.00,13-03-2020,228,228,1
48503295,0.00,,68,68,1
48503364,6.00,13-03-2020,218,218,1
48605464,0.00,,0,0,1
82040768,0.00,,851,851,1
82040923,0.00,,339,339,1
82040926,0.00,,148,148,1
82040927,0.00,,72,72,1
82040985,2.00,13-03-2020,306,306,1
82040986,0.00,,329,329,1
82040987,0.00,,65,65,1
82041001,0.00,,209,209,1
90246828,8.00,13-03-2020,202,202,1
90906086,0.00,,0,0,1
90906088,2.00,13-03-2020,24,24,1
32700695,0.00,,90,90,1
32700134,0.00,,46,46,1
32700136,0.00,,95,95,1
32700138,0.00,,0,0,1
32701082,0.00,,102,102,1
32701086,0.00,,270,270,1
40114494,139.00,14-08-2019,0,0,1
40114537,96.00,12-08-2019,98,98,1
40600125,0.00,,22,22,1
40600129,0.00,,41,41,1
40600130,0.00,,111,111,1
48501999,6.00,13-03-2020,195,195,1
48508752,0.00,,122,122,1
59090292,0.00,,249,249,1
76805612,0.00,,273,273,1
76808157,0.00,,297,297,1
79208134,2.00,13-03-2020,141,141,1
90178788,0.00,,363,363,1
90902778,0.00,,267,267,1
92000875,0.00,,271,271,1
48601129,0.00,,120,120,1
117003,300.00,21-10-2019,187,187,1
17123379,6.00,13-03-2020,115,115,1
22201537,0.00,,23,23,1
23603608,0.00,,92,92,1
23603609,0.00,,138,138,1
32126000,10.00,13-03-2020,137,137,1
32187505,0.00,,27,27,1
32407536,0.00,,145,145,1
32700003,50.00,15-01-2020,85,85,1
32706856,0.00,,748,748,1
32708240,0.00,,326,326,1
32708249,98.00,02-09-2019,149,149,1
